MaTin,ThanhPho,QuanHuyen,PhuongXa,DuAn,LoaiHinh,TinhTrang,DienTich_m2,SoPhongNgu,SoWC,HuongBanCong,Tang,NamBanGiao,PhapLy,NoiThat,GiaTyVND,GiaTrieu_m2,PhiQuanLyNghin_m2,ChoDoXe,GanMetro,HoBoi,PhongGym,NoiBat,NgayDangTin,GhiChuNguon
HCM0024,TP.HCM,Thủ Đức,Hiệp Bình Chánh,Fiato Premier,Chung cư,Cần bán gấp,81.7,3,2,Nam,36,2017,HĐMB,Nội thất cao cấp,6.13,75.0,19.3,Ô tô + xe máy,Không,Không,Có,Gần trung tâm thương mại,2026-02-01,Dữ liệu tổng hợp mô phỏng
HCM0025,TP.HCM,Tân Bình,Phường 12,Carillon,Chung cư,Đang bán,50.7,1,1,Nam,8,2020,Sổ hồng lâu dài,Cơ bản,3.94,77.7,11.8,Ô tô + xe máy,Có,Có,Có,Tầng trung đẹp,2026-02-08,Dữ liệu tổng hợp mô phỏng
HCM0026,TP.HCM,Gò Vấp,Phường 3,Opal Park,Chung cư,Đang bán,110.1,3,3,Tây,28,2021,Sổ hồng lâu dài,Nội thất cao cấp,6.77,61.5,21.6,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-02-23,Dữ liệu tổng hợp mô phỏng
HCM0027,TP.HCM,Quận 7,Tân Quy,The Peak Midtown,Chung cư,Đang bán,114.8,3,3,Đông,34,2021,Sổ hồng lâu dài,Nội thất cao cấp,8.84,77.0,22.1,Ô tô + xe máy,Không,Có,Có,Đầy đủ tiện ích,2025-12-17,Dữ liệu tổng hợp mô phỏng
HCM0028,TP.HCM,Quận 7,Tân Hưng,Masteri Pearl,Chung cư,Chuyển nhượng,79.6,2,2,Đông Bắc,22,2019,Sổ hồng lâu dài,Full nội thất,6.22,78.2,19.3,Không rõ,Không,Có,Có,View nội khu yên tĩnh,2026-04-04,Dữ liệu tổng hợp mô phỏng
HCM0029,TP.HCM,Bình Tân,Bình Trị Đông B,Vinhomes Premier,Chung cư,Đang bán,103.3,3,3,Tây,37,2015,HĐMB,Full nội thất,5.93,57.4,10.9,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2026-03-31,Dữ liệu tổng hợp mô phỏng
HCM0030,TP.HCM,Bình Thạnh,Phường 13,Wilton Tower,Chung cư,Chuyển nhượng,43.7,1,1,Đông,4,2015,Đang chờ sổ,Cơ bản,4.01,91.9,15.2,Ô tô riêng,Không,Không,Có,Gần tuyến metro,2025-10-11,Dữ liệu tổng hợp mô phỏng
HCM0031,TP.HCM,Quận 1,Bến Thành,Madison,Chung cư,Chuyển nhượng,49.8,1,1,Đông Nam,28,2015,Sổ hồng lâu dài,Cơ bản,9.97,200.3,9.8,Không rõ,Không,Có,Có,Gần trung tâm thương mại,2025-12-26,Dữ liệu tổng hợp mô phỏng
HCM0032,TP.HCM,Gò Vấp,Phường 10,Akari Garden,Chung cư,Đang bán,66.5,2,2,Tây,34,2023,Sổ hồng lâu dài,Nội thất cao cấp,4.47,67.2,15.2,Ô tô + xe máy,Có,Có,Có,Ban công rộng,2026-03-04,Dữ liệu tổng hợp mô phỏng
HCM0033,TP.HCM,Phú Nhuận,Phường 7,Newton Residence,Chung cư,Cần bán gấp,102.0,3,2,Tây Nam,8,2014,Sổ hồng lâu dài,Nội thất cao cấp,8.99,88.1,21.7,Ô tô + xe máy,Không,Có,Có,Gần trường quốc tế,2026-03-31,Dữ liệu tổng hợp mô phỏng
HCM0034,TP.HCM,Gò Vấp,Phường 5,Vinhomes Riverside,Chung cư,Đang bán,114.0,3,3,Tây,37,2019,HĐMB,Cơ bản,7.34,64.4,23.5,Không rõ,Có,Có,Có,Đầy đủ tiện ích,2026-03-08,Dữ liệu tổng hợp mô phỏng
HCM0035,TP.HCM,Quận 2,Thủ Thiêm,Celadon Vista,Chung cư,Cần bán gấp,85.1,3,3,Nam,34,2014,Sổ hồng lâu dài,Full nội thất,10.45,122.8,10.1,Không rõ,Không,Không,Có,Ban công rộng,2025-11-03,Dữ liệu tổng hợp mô phỏng
HCM0036,TP.HCM,Quận 2,An Khánh,The Metropole Thủ Thiêm,Chung cư,Cần bán gấp,116.1,3,3,Đông Nam,36,2021,HĐMB,Nội thất cao cấp,16.43,141.5,10.4,Ô tô + xe máy,Không,Có,Có,Gần trường quốc tế,2025-12-10,Dữ liệu tổng hợp mô phỏng
HCM0037,TP.HCM,Thủ Đức,An Lợi Đông,Opal Riverside,Chung cư,Chuyển nhượng,104.2,3,3,Tây Nam,9,2012,Sổ hồng lâu dài,Cơ bản,7.79,74.7,23.9,Ô tô + xe máy,Có,Có,Có,Đầy đủ tiện ích,2025-11-11,Dữ liệu tổng hợp mô phỏng
HCM0038,TP.HCM,Bình Tân,An Lạc,Opal Plaza,Chung cư,Đang bán,41.0,1,1,Nam,16,2016,Sổ hồng lâu dài,Cơ bản,2.02,49.2,14.9,Xe máy,Không,Có,Không,Tầng trung đẹp,2025-10-20,Dữ liệu tổng hợp mô phỏng
HCM0039,TP.HCM,Quận 1,Bến Thành,Madison,Chung cư,Cần bán gấp,129.1,4,2,Đông Bắc,12,2014,Sổ hồng lâu dài,Nhà thô,17.98,139.2,15.7,Ô tô + xe máy,Có,Không,Có,Đầy đủ tiện ích,2026-01-03,Dữ liệu tổng hợp mô phỏng
HCM0040,TP.HCM,Quận 7,Bình Thuận,The Peak Midtown,Chung cư,Đang bán,57.3,2,2,Tây Bắc,41,2025,Sổ hồng lâu dài,Cơ bản,5.12,89.4,15.9,Xe máy,Có,Có,Không,Ban công rộng,2026-02-23,Dữ liệu tổng hợp mô phỏng
HCM0041,TP.HCM,Tân Bình,Phường 12,Republic Plaza,Chung cư,Đang bán,89.6,3,2,Tây Bắc,27,2017,Sổ hồng lâu dài,Cơ bản,6.68,74.5,8.1,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2025-11-05,Dữ liệu tổng hợp mô phỏng
HCM0042,TP.HCM,Quận 7,Phú Mỹ,Scenic Valley,Chung cư,Chuyển nhượng,56.7,2,2,Nam,39,2025,Sổ hồng lâu dài,Full nội thất,4.9,86.5,21.5,Xe máy,Không,Có,Có,Tầng trung đẹp,2026-03-01,Dữ liệu tổng hợp mô phỏng
HCM0043,TP.HCM,Quận 2,Thảo Điền,Sala Sarimi,Chung cư,Đang bán,50.7,1,1,Tây Nam,6,2017,Sổ hồng lâu dài,Full nội thất,6.95,137.0,23.1,Ô tô riêng,Có,Không,Không,Tầng trung đẹp,2026-01-06,Dữ liệu tổng hợp mô phỏng
HCM0044,TP.HCM,Gò Vấp,Phường 1,Sunrise Heights,Chung cư,Đang bán,54.5,1,1,Tây,35,2014,Sổ hồng lâu dài,Cơ bản,3.43,62.8,11.1,Xe máy,Không,Có,Có,Ban công rộng,2026-03-10,Dữ liệu tổng hợp mô phỏng
HCM0045,TP.HCM,Phú Nhuận,Phường 15,Botanica Premier,Chung cư,Đang bán,56.4,1,1,Đông Nam,14,2023,Sổ hồng lâu dài,Full nội thất,5.56,98.6,19.5,Ô tô + xe máy,Không,Không,Có,Gần trung tâm thương mại,2026-03-07,Dữ liệu tổng hợp mô phỏng
HCM0046,TP.HCM,Quận 2,An Phú,Celadon Tower,Chung cư,Đang bán,67.4,2,2,Nam,15,2016,HĐMB,Full nội thất,8.45,125.3,16.8,Xe máy,Có,Có,Có,Gần trường quốc tế,2026-03-31,Dữ liệu tổng hợp mô phỏng
HCM0047,TP.HCM,Phú Nhuận,Phường 7,Newton Residence,Chung cư,Cần bán gấp,163.4,4,3,Đông Bắc,16,2017,HĐMB,Full nội thất,16.16,98.9,21.9,Ô tô + xe máy,Có,Có,Có,Gần trường quốc tế,2025-12-09,Dữ liệu tổng hợp mô phỏng
HCM0048,TP.HCM,Quận 7,Tân Quy,Opal Grand,Chung cư,Đang bán,120.6,3,3,Tây Nam,9,2022,Sổ hồng lâu dài,Cơ bản,11.54,95.7,24.3,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2025-12-18,Dữ liệu tổng hợp mô phỏng
HCM0049,TP.HCM,Tân Bình,Phường 15,Sky Center,Chung cư,Đang bán,91.4,3,3,Nam,41,2017,Sổ hồng 50 năm,Full nội thất,6.3,68.9,24.8,Không rõ,Có,Có,Có,Tầng trung đẹp,2025-12-28,Dữ liệu tổng hợp mô phỏng
HCM0050,TP.HCM,Bình Tân,An Lạc,Masteri Riverside,Chung cư,Đang bán,176.8,4,2,Bắc,11,2022,HĐMB,Nhà thô,11.33,64.1,16.3,Ô tô + xe máy,Có,Có,Không,Căn góc,2026-01-21,Dữ liệu tổng hợp mô phỏng
HCM0051,TP.HCM,Gò Vấp,Phường 7,Sunrise Riverside,Chung cư,Chuyển nhượng,42.9,1,1,Tây Nam,38,2025,Sổ hồng lâu dài,Full nội thất,2.5,58.2,16.5,Ô tô + xe máy,Có,Có,Không,Đầy đủ tiện ích,2026-03-08,Dữ liệu tổng hợp mô phỏng
HCM0052,TP.HCM,Tân Bình,Phường 12,Carillon,Chung cư,Chuyển nhượng,112.9,3,3,Tây,41,2018,Sổ hồng 50 năm,Full nội thất,7.68,68.0,23.9,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2025-11-04,Dữ liệu tổng hợp mô phỏng
HCM0053,TP.HCM,Thủ Đức,An Lợi Đông,Moonlight Avenue,Chung cư,Đang bán,56.3,2,2,Tây,22,2018,Sổ hồng lâu dài,Full nội thất,3.58,63.5,13.6,Xe máy,Không,Có,Không,Gần trường quốc tế,2026-02-27,Dữ liệu tổng hợp mô phỏng
HCM0054,TP.HCM,Bình Thạnh,Phường 22,Opal Premier,Chung cư,Chuyển nhượng,77.0,2,2,Đông Bắc,28,2024,Sổ hồng lâu dài,Cơ bản,8.61,111.8,20.1,Ô tô + xe máy,Có,Có,Có,View sông thoáng,2025-11-06,Dữ liệu tổng hợp mô phỏng
HCM0055,TP.HCM,Tân Bình,Phường 12,Republic Plaza,Chung cư,Đang bán,123.7,3,2,Đông,14,2018,HĐMB,Full nội thất,8.49,68.6,14.1,Không rõ,Không,Có,Không,Gần công viên,2025-12-19,Dữ liệu tổng hợp mô phỏng
HCM0056,TP.HCM,Quận 2,Thủ Thiêm,Masteri Thảo Điền,Chung cư,Đang bán,56.5,2,2,Nam,41,2022,Sổ hồng lâu dài,Full nội thất,8.57,151.6,15.5,Ô tô + xe máy,Có,Có,Có,View nội khu yên tĩnh,2025-11-24,Dữ liệu tổng hợp mô phỏng
HCM0057,TP.HCM,Quận 2,Thảo Điền,Masteri Tower,Chung cư,Cần bán gấp,40.9,1,1,Tây,34,2018,Đang chờ sổ,Nội thất cao cấp,6.2,151.5,22.8,Xe máy,Có,Có,Có,Tầng trung đẹp,2025-10-28,Dữ liệu tổng hợp mô phỏng
HCM0058,TP.HCM,Quận 7,Phú Mỹ,The Peak Midtown,Chung cư,Cần bán gấp,55.7,2,2,Tây Bắc,19,2023,Sổ hồng lâu dài,Full nội thất,5.49,98.7,11.4,Ô tô + xe máy,Có,Có,Không,Gần trung tâm thương mại,2025-10-14,Dữ liệu tổng hợp mô phỏng
HCM0059,TP.HCM,Quận 4,Phường 13,Opal Grand,Chung cư,Đang bán,75.7,2,2,Đông Bắc,14,2016,Sổ hồng lâu dài,Full nội thất,6.39,84.5,13.1,Ô tô + xe máy,Có,Không,Có,Căn góc,2026-01-31,Dữ liệu tổng hợp mô phỏng
HCM0060,TP.HCM,Quận 2,An Phú,Sala Sarimi,Chung cư,Chuyển nhượng,44.5,1,1,Bắc,7,2021,HĐMB,Cơ bản,6.22,139.8,15.0,Không rõ,Có,Có,Có,Gần công viên,2026-03-02,Dữ liệu tổng hợp mô phỏng
HCM0061,TP.HCM,Phú Nhuận,Phường 7,Kingston Residence,Chung cư,Đang bán,91.5,3,2,Tây Nam,39,2013,Sổ hồng lâu dài,Nội thất cao cấp,8.9,97.3,14.6,Ô tô + xe máy,Có,Có,Có,Tầng trung đẹp,2025-11-11,Dữ liệu tổng hợp mô phỏng
HCM0062,TP.HCM,Bình Thạnh,Phường 22,Sunwah Pearl,Chung cư,Chuyển nhượng,92.8,3,3,Tây Nam,18,2018,Đang chờ sổ,Full nội thất,8.92,96.2,11.9,Không rõ,Không,Có,Có,Đầy đủ tiện ích,2025-11-20,Dữ liệu tổng hợp mô phỏng
HCM0063,TP.HCM,Gò Vấp,Phường 5,Sunwah Tower,Chung cư,Cho thuê mua,65.9,2,2,Đông Nam,9,2022,Sổ hồng lâu dài,Cơ bản,5.07,76.9,15.1,Ô tô riêng,Không,Có,Không,Gần công viên,2026-02-28,Dữ liệu tổng hợp mô phỏng
HCM0064,TP.HCM,Quận 1,Đa Kao,Lancaster Legacy,Chung cư,Chuyển nhượng,109.5,3,2,Tây Bắc,27,2021,Sổ hồng lâu dài,Full nội thất,19.98,182.4,19.2,Không rõ,Không,Không,Không,Ban công rộng,2025-11-04,Dữ liệu tổng hợp mô phỏng
HCM0065,TP.HCM,Thủ Đức,Hiệp Bình Chánh,Fiato Premier,Chung cư,Chuyển nhượng,50.0,1,1,Bắc,27,2020,HĐMB,Full nội thất,4.26,85.3,16.5,Xe máy,Có,Có,Có,View nội khu yên tĩnh,2026-02-16,Dữ liệu tổng hợp mô phỏng
HCM0066,TP.HCM,Thủ Đức,Linh Đông,Opal Riverside,Chung cư,Đang bán,199.7,4,3,Tây,35,2022,Sổ hồng lâu dài,Nội thất cao cấp,17.83,89.3,8.1,Ô tô + xe máy,Không,Không,Không,Đầy đủ tiện ích,2026-03-22,Dữ liệu tổng hợp mô phỏng
HCM0067,TP.HCM,Thủ Đức,Trường Thọ,Opal Riverside,Chung cư,Cần bán gấp,104.0,3,2,Tây,31,2019,Đang chờ sổ,Cơ bản,6.98,67.1,8.7,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-03-14,Dữ liệu tổng hợp mô phỏng
HCM0068,TP.HCM,Thủ Đức,Hiệp Bình Chánh,Moonlight Avenue,Chung cư,Đang bán,65.2,2,2,Đông Nam,18,2024,HĐMB,Cơ bản,4.74,72.7,20.8,Ô tô riêng,Không,Có,Có,Ban công rộng,2025-12-15,Dữ liệu tổng hợp mô phỏng
HCM0069,TP.HCM,Thủ Đức,An Lợi Đông,Fiato Premier,Chung cư,Cần bán gấp,43.8,1,1,Đông Nam,17,2026,Sổ hồng lâu dài,Cơ bản,3.22,73.5,16.6,Ô tô + xe máy,Có,Không,Có,Gần trường quốc tế,2025-11-05,Dữ liệu tổng hợp mô phỏng
HCM0070,TP.HCM,Thủ Đức,An Khánh,Fiato Premier,Chung cư,Chuyển nhượng,106.2,3,2,Nam,40,2012,Sổ hồng 50 năm,Cơ bản,8.38,78.9,19.1,Ô tô + xe máy,Có,Có,Không,Ban công rộng,2025-11-27,Dữ liệu tổng hợp mô phỏng
HCM0071,TP.HCM,Gò Vấp,Phường 7,The Tresor Pearl,Chung cư,Đang bán,55.9,1,1,Bắc,3,2022,Sổ hồng lâu dài,Nhà thô,3.61,64.5,22.2,Xe máy,Có,Có,Không,View nội khu yên tĩnh,2025-11-26,Dữ liệu tổng hợp mô phỏng
HCM0072,TP.HCM,Quận 7,Tân Phú,Scenic Valley,Chung cư,Chuyển nhượng,58.0,2,2,Bắc,24,2020,Sổ hồng lâu dài,Cơ bản,4.07,70.2,23.7,Không rõ,Có,Có,Có,Căn góc,2026-02-22,Dữ liệu tổng hợp mô phỏng
HCM0073,TP.HCM,Thủ Đức,Linh Đông,Masteri An Phú,Chung cư,Chuyển nhượng,57.6,1,1,Đông Bắc,20,2020,Đang chờ sổ,Nội thất cao cấp,4.48,77.8,10.4,Ô tô + xe máy,Có,Có,Không,Gần công viên,2025-12-12,Dữ liệu tổng hợp mô phỏng
HCM0074,TP.HCM,Tân Bình,Phường 2,Celadon Heights,Chung cư,Chuyển nhượng,58.5,2,2,Đông,8,2019,Sổ hồng lâu dài,Cơ bản,3.63,62.0,18.2,Xe máy,Không,Có,Không,Gần trung tâm thương mại,2025-11-10,Dữ liệu tổng hợp mô phỏng
HCM0075,TP.HCM,Quận 4,Phường 13,Sunwah Heights,Chung cư,Chuyển nhượng,69.8,2,2,Đông,14,2017,Sổ hồng 50 năm,Full nội thất,5.91,84.6,23.6,Ô tô + xe máy,Có,Có,Có,Gần công viên,2026-03-12,Dữ liệu tổng hợp mô phỏng
HCM0076,TP.HCM,Quận 7,Bình Thuận,M-One Nam Sài Gòn,Chung cư,Cần bán gấp,59.9,2,2,Tây Bắc,7,2024,Sổ hồng lâu dài,Cơ bản,4.88,81.5,17.7,Ô tô + xe máy,Không,Không,Có,Gần tuyến metro,2026-01-21,Dữ liệu tổng hợp mô phỏng
HCM0077,TP.HCM,Quận 2,Bình An,Opal City,Chung cư,Đang bán,89.5,3,2,Đông Bắc,23,2014,Sổ hồng lâu dài,Cơ bản,10.3,115.1,13.9,Ô tô + xe máy,Có,Có,Có,Căn góc,2026-02-10,Dữ liệu tổng hợp mô phỏng
HCM0078,TP.HCM,Quận 2,Bình An,Estella Heights,Chung cư,Cho thuê mua,117.3,3,3,Đông Nam,31,2016,Sổ hồng lâu dài,Nội thất cao cấp,14.89,126.9,14.4,Ô tô riêng,Không,Không,Có,Gần trung tâm thương mại,2026-02-15,Dữ liệu tổng hợp mô phỏng
HCM0079,TP.HCM,Gò Vấp,Phường 1,Vinhomes Vista,Chung cư,Đang bán,78.7,2,2,Tây Nam,23,2020,Sổ hồng lâu dài,Cơ bản,4.79,60.8,23.4,Ô tô + xe máy,Có,Có,Có,Tầng trung đẹp,2025-12-10,Dữ liệu tổng hợp mô phỏng
HCM0080,TP.HCM,Thủ Đức,Linh Đông,Celadon City,Chung cư,Đang bán,84.6,2,2,Bắc,40,2018,Sổ hồng lâu dài,Cơ bản,5.39,63.7,13.1,Ô tô + xe máy,Không,Có,Không,Đầy đủ tiện ích,2026-03-02,Dữ liệu tổng hợp mô phỏng
HCM0081,TP.HCM,Phú Nhuận,Phường 15,Botanica Premier,Chung cư,Đang bán,72.2,2,2,Bắc,19,2020,Sổ hồng lâu dài,Nhà thô,6.6,91.5,9.2,Ô tô riêng,Không,Có,Không,Gần công viên,2026-02-14,Dữ liệu tổng hợp mô phỏng
HCM0082,TP.HCM,Bình Thạnh,Phường 26,Vinhomes Central Park,Chung cư,Đang bán,84.1,2,2,Đông Bắc,19,2016,HĐMB,Cơ bản,9.55,113.5,22.5,Ô tô riêng,Không,Có,Không,Ban công rộng,2026-04-05,Dữ liệu tổng hợp mô phỏng
HCM0083,TP.HCM,Tân Bình,Phường 15,Carillon,Chung cư,Chuyển nhượng,65.0,2,2,Đông Nam,7,2023,Sổ hồng lâu dài,Full nội thất,4.01,61.7,17.2,Ô tô riêng,Không,Có,Có,Gần trung tâm thương mại,2026-03-22,Dữ liệu tổng hợp mô phỏng
HCM0084,TP.HCM,Bình Thạnh,Phường 25,Saigon Pearl,Chung cư,Cần bán gấp,83.3,3,3,Tây Bắc,32,2020,Sổ hồng lâu dài,Full nội thất,10.46,125.6,19.2,Ô tô + xe máy,Có,Có,Có,Gần trung tâm thương mại,2025-11-11,Dữ liệu tổng hợp mô phỏng
HCM0085,TP.HCM,Thủ Đức,An Lợi Đông,Vinhomes Grand Park,Chung cư,Đang bán,105.8,3,3,Đông Nam,39,2014,Sổ hồng lâu dài,Cơ bản,7.01,66.2,25.0,Ô tô + xe máy,Có,Có,Có,Ban công rộng,2026-02-10,Dữ liệu tổng hợp mô phỏng
HCM0086,TP.HCM,Quận 2,Bình An,The Metropole Thủ Thiêm,Chung cư,Cần bán gấp,82.6,2,2,Tây,25,2012,Sổ hồng lâu dài,Cơ bản,10.2,123.5,21.4,Xe máy,Có,Có,Có,Gần trung tâm thương mại,2026-01-02,Dữ liệu tổng hợp mô phỏng
HCM0087,TP.HCM,Bình Tân,Bình Trị Đông B,Sunrise Park,Chung cư,Cần bán gấp,42.2,1,1,Đông Nam,34,2023,HĐMB,Cơ bản,2.23,52.9,12.6,Ô tô + xe máy,Có,Có,Không,Đầy đủ tiện ích,2026-03-15,Dữ liệu tổng hợp mô phỏng
HCM0088,TP.HCM,Gò Vấp,Phường 7,Jamona Heights,Chung cư,Cần bán gấp,185.2,4,2,Đông,8,2022,Sổ hồng lâu dài,Cơ bản,12.67,68.4,13.8,Ô tô + xe máy,Có,Có,Có,Gần trường quốc tế,2026-03-05,Dữ liệu tổng hợp mô phỏng
HCM0089,TP.HCM,Quận 1,Bến Thành,Grand Marina Saigon,Chung cư,Chuyển nhượng,109.7,3,3,Đông Nam,42,2018,Sổ hồng lâu dài,Nhà thô,18.59,169.4,20.0,Ô tô + xe máy,Không,Không,Có,Gần trung tâm thương mại,2026-01-21,Dữ liệu tổng hợp mô phỏng
HCM0090,TP.HCM,Thủ Đức,An Khánh,Opal Tower,Chung cư,Đang bán,94.9,3,3,Tây Bắc,5,2023,Sổ hồng lâu dài,Cơ bản,8.69,91.6,17.5,Ô tô + xe máy,Có,Không,Có,View sông thoáng,2026-03-12,Dữ liệu tổng hợp mô phỏng
HCM0091,TP.HCM,Quận 2,An Khánh,The Metropole Thủ Thiêm,Chung cư,Chuyển nhượng,80.0,3,3,Tây Nam,33,2026,HĐMB,Cơ bản,11.69,146.1,21.5,Ô tô riêng,Có,Có,Có,Gần trường quốc tế,2026-02-11,Dữ liệu tổng hợp mô phỏng
HCM0092,TP.HCM,Quận 7,Bình Thuận,Sunshine Diamond River,Chung cư,Chuyển nhượng,42.5,1,1,Đông,14,2023,Sổ hồng lâu dài,Cơ bản,4.32,101.6,23.9,Ô tô riêng,Có,Có,Có,Tầng trung đẹp,2026-04-01,Dữ liệu tổng hợp mô phỏng
HCM0093,TP.HCM,Tân Bình,Phường 4,Republic Plaza,Chung cư,Chuyển nhượng,50.7,1,1,Đông Bắc,18,2014,Đang chờ sổ,Full nội thất,3.01,59.5,23.7,Không rõ,Có,Không,Có,Căn góc,2025-11-21,Dữ liệu tổng hợp mô phỏng
HCM0094,TP.HCM,Quận 7,Tân Hưng,The Peak Midtown,Chung cư,Đang bán,79.2,2,2,Nam,34,2024,Sổ hồng lâu dài,Full nội thất,7.7,97.2,14.6,Xe máy,Không,Có,Có,Gần công viên,2026-03-12,Dữ liệu tổng hợp mô phỏng
HCM0095,TP.HCM,Gò Vấp,Phường 5,Sunwah Grand,Chung cư,Cần bán gấp,71.6,2,2,Đông,8,2025,Đang chờ sổ,Cơ bản,4.45,62.2,10.6,Xe máy,Không,Có,Có,Gần tuyến metro,2025-11-07,Dữ liệu tổng hợp mô phỏng
HCM0096,TP.HCM,Tân Bình,Phường 12,Carillon,Chung cư,Đang bán,75.8,2,2,Đông Nam,36,2014,HĐMB,Cơ bản,4.72,62.2,23.2,Ô tô riêng,Có,Không,Có,Gần trung tâm thương mại,2026-01-28,Dữ liệu tổng hợp mô phỏng
HCM0097,TP.HCM,Quận 7,Bình Thuận,Scenic Valley,Chung cư,Đang bán,209.4,4,3,Bắc,23,2014,HĐMB,Cơ bản,17.34,82.8,11.8,Xe máy,Không,Có,Có,Gần trường quốc tế,2026-03-04,Dữ liệu tổng hợp mô phỏng
HCM0098,TP.HCM,Quận 7,Tân Hưng,Sunrise City,Chung cư,Cần bán gấp,97.6,3,2,Đông Nam,18,2025,Sổ hồng lâu dài,Cơ bản,7.69,78.8,21.1,Xe máy,Không,Có,Có,Căn góc,2026-01-16,Dữ liệu tổng hợp mô phỏng
HCM0099,TP.HCM,Phú Nhuận,Phường 15,Botanica Premier,Chung cư,Chuyển nhượng,68.1,2,2,Nam,10,2020,Sổ hồng lâu dài,Nội thất cao cấp,6.61,97.1,24.4,Ô tô + xe máy,Có,Không,Có,Căn góc,2026-03-12,Dữ liệu tổng hợp mô phỏng
HCM0100,TP.HCM,Gò Vấp,Phường 7,Saigon Royal Vista,Chung cư,Đang bán,90.1,3,2,Đông Bắc,8,2023,Đang chờ sổ,Cơ bản,6.08,67.5,23.1,Không rõ,Có,Có,Không,Căn góc,2026-01-29,Dữ liệu tổng hợp mô phỏng
HCM0101,TP.HCM,Bình Thạnh,Phường 26,Vinhomes Central Park,Chung cư,Cần bán gấp,128.3,4,2,Tây,34,2015,Đang chờ sổ,Cơ bản,12.41,96.7,18.9,Xe máy,Không,Không,Có,View nội khu yên tĩnh,2025-11-06,Dữ liệu tổng hợp mô phỏng
HCM0102,TP.HCM,Quận 2,An Phú,The Tresor Grand,Chung cư,Chuyển nhượng,75.2,2,2,Nam,41,2018,Sổ hồng lâu dài,Cơ bản,9.41,125.2,23.5,Ô tô + xe máy,Có,Không,Có,Đầy đủ tiện ích,2025-10-20,Dữ liệu tổng hợp mô phỏng
HCM0103,TP.HCM,Quận 1,Đa Kao,Lancaster Legacy,Chung cư,Đang bán,56.4,1,1,Đông Bắc,4,2023,Sổ hồng 50 năm,Full nội thất,11.27,199.9,22.1,Ô tô + xe máy,Không,Có,Không,Gần trường quốc tế,2026-02-15,Dữ liệu tổng hợp mô phỏng
HCM0104,TP.HCM,Tân Bình,Phường 12,Carillon,Chung cư,Chuyển nhượng,87.7,3,3,Bắc,8,2017,Đang chờ sổ,Nội thất cao cấp,5.71,65.0,13.7,Ô tô + xe máy,Không,Có,Có,Tầng trung đẹp,2025-12-03,Dữ liệu tổng hợp mô phỏng
HCM0105,TP.HCM,Quận 4,Phường 13,Masteri Garden,Chung cư,Đang bán,79.2,2,2,Tây Nam,26,2024,Sổ hồng lâu dài,Cơ bản,6.11,77.2,19.6,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2026-02-18,Dữ liệu tổng hợp mô phỏng
HCM0106,TP.HCM,Gò Vấp,Phường 3,Sunwah Vista,Chung cư,Chuyển nhượng,104.0,3,3,Đông Nam,11,2026,Đang chờ sổ,Nhà thô,7.31,70.4,19.0,Không rõ,Có,Có,Không,Gần trung tâm thương mại,2025-11-20,Dữ liệu tổng hợp mô phỏng
HCM0107,TP.HCM,Quận 1,Bến Thành,Celadon Tower,Chung cư,Đang bán,124.2,3,2,Tây Nam,17,2019,Sổ hồng lâu dài,Full nội thất,19.78,159.2,19.0,Ô tô riêng,Có,Có,Có,Đầy đủ tiện ích,2026-02-21,Dữ liệu tổng hợp mô phỏng
HCM0108,TP.HCM,Tân Bình,Phường 12,Botanica Premier,Chung cư,Đang bán,91.9,3,3,Bắc,26,2026,HĐMB,Cơ bản,7.4,80.5,22.9,Xe máy,Không,Có,Có,Gần tuyến metro,2025-12-09,Dữ liệu tổng hợp mô phỏng
HCM0109,TP.HCM,Thủ Đức,Trường Thọ,Masteri An Phú,Chung cư,Đang bán,90.1,3,3,Đông Nam,39,2025,Sổ hồng 50 năm,Full nội thất,7.02,77.9,18.1,Xe máy,Có,Có,Không,Gần trường quốc tế,2026-03-24,Dữ liệu tổng hợp mô phỏng
HCM0110,TP.HCM,Phú Nhuận,Phường 2,Celadon Residence,Chung cư,Chuyển nhượng,102.1,3,2,Đông Bắc,28,2015,Sổ hồng lâu dài,Full nội thất,9.23,90.4,22.4,Ô tô + xe máy,Có,Không,Không,Tầng trung đẹp,2026-01-19,Dữ liệu tổng hợp mô phỏng
HCM0111,TP.HCM,Phú Nhuận,Phường 2,Botanica Premier,Chung cư,Cho thuê mua,70.9,2,2,Tây Nam,13,2023,Sổ hồng 50 năm,Nội thất cao cấp,7.66,108.0,8.5,Không rõ,Không,Có,Có,Đầy đủ tiện ích,2025-11-14,Dữ liệu tổng hợp mô phỏng
HCM0112,TP.HCM,Quận 7,Tân Quy,M-One Nam Sài Gòn,Chung cư,Cần bán gấp,44.9,1,1,Đông,9,2016,Sổ hồng lâu dài,Full nội thất,3.88,86.5,15.2,Ô tô + xe máy,Không,Có,Có,View sông thoáng,2025-11-26,Dữ liệu tổng hợp mô phỏng
